Candidate,Date,Avg_Score
Clinton,2016-08-14,-0.120633349
Clinton,2016-08-15,-0.406468507
Clinton,2016-08-16,-0.296513507
Clinton,2016-08-17,-0.281242043
Clinton,2016-08-18,-0.314081123
Clinton,2016-08-19,-0.368923757
Clinton,2016-08-20,-0.238874325
Clinton,2016-08-21,-0.221491901
Clinton,2016-08-22,-0.28288622
Clinton,2016-08-23,-0.309828301
Clinton,2016-08-24,-0.374889471
Clinton,2016-08-25,-0.20518807
Clinton,2016-08-26,-0.255688103
Clinton,2016-08-27,-0.248050667
Clinton,2016-08-28,-0.135627432
Clinton,2016-08-29,-0.174923107
Clinton,2016-08-30,-0.22933341
Clinton,2016-08-31,-0.283884125
Clinton,2016-09-01,-0.239878456
Clinton,2016-09-02,-0.308740061
Clinton,2016-09-03,-0.236462038
Clinton,2016-09-04,-0.19220048
Clinton,2016-09-05,-0.302969392
Clinton,2016-09-06,-0.327381709
Clinton,2016-09-07,-0.295088103
Clinton,2016-09-08,-0.292201985
Clinton,2016-09-09,-0.210253639
Clinton,2016-09-10,-0.249079165
Clinton,2016-09-11,-0.314250935
Clinton,2016-09-12,-0.285104375
Clinton,2016-09-13,-0.341351153
Clinton,2016-09-14,-0.3370336
Clinton,2016-09-15,-0.378584527
Clinton,2016-09-16,-0.237262566
Clinton,2016-09-17,-0.324843508
Clinton,2016-09-18,-0.444307794
Clinton,2016-09-19,-0.365251643
Clinton,2016-09-20,-0.275850233
Clinton,2016-09-21,-0.19908116
Clinton,2016-09-22,-0.381564006
Clinton,2016-09-23,-0.230728577
Clinton,2016-09-24,-0.233589227
Clinton,2016-09-25,-0.143339117
Clinton,2016-09-26,-0.162600111
Clinton,2016-09-27,-0.249796201
Clinton,2016-09-28,-0.220700097
Clinton,2016-09-29,-0.362233712
Clinton,2016-09-30,-0.250116263
Clinton,2016-10-01,-0.329013988
Clinton,2016-10-02,-0.301538639
Clinton,2016-10-03,-0.331057281
Clinton,2016-10-04,-0.311036831
Clinton,2016-10-05,-0.22405187
Clinton,2016-10-06,-0.379066023
Clinton,2016-10-07,-0.296676293
Trump,2016-08-14,-0.234033905
Trump,2016-08-15,-0.270846542
Trump,2016-08-16,-0.232911271
Trump,2016-08-17,-0.153742353
Trump,2016-08-18,-0.240649501
Trump,2016-08-19,-0.1722
Trump,2016-08-20,-0.263880512
Trump,2016-08-21,-0.174638195
Trump,2016-08-22,-0.360522737
Trump,2016-08-23,-0.349254673
Trump,2016-08-24,-0.096521728
Trump,2016-08-25,-0.257516707
Trump,2016-08-26,-0.35709897
Trump,2016-08-27,-0.166091379
Trump,2016-08-28,-0.156018106
Trump,2016-08-29,-0.195849171
Trump,2016-08-30,-0.275048689
Trump,2016-08-31,-0.174915098
Trump,2016-09-01,-0.34737366
Trump,2016-09-02,-0.231974429
Trump,2016-09-03,-0.17222549
Trump,2016-09-04,-0.321978162
Trump,2016-09-05,-0.315552741
Trump,2016-09-06,-0.181112243
Trump,2016-09-07,-0.205847024
Trump,2016-09-08,-0.27516572
Trump,2016-09-09,-0.147511946
Trump,2016-09-10,-0.332380291
Trump,2016-09-11,-0.278479304
Trump,2016-09-12,-0.229604012
Trump,2016-09-13,-0.201689461
Trump,2016-09-14,-0.154695996
Trump,2016-09-15,-0.227652286
Trump,2016-09-16,-0.27541286
Trump,2016-09-17,-0.345230871
Trump,2016-09-18,-0.292055098
Trump,2016-09-19,-0.421816522
Trump,2016-09-20,-0.307906794
Trump,2016-09-21,-0.272537945
Trump,2016-09-22,-0.209305914
Trump,2016-09-23,-0.192079882
Trump,2016-09-24,0.056740201
Trump,2016-09-25,-0.123113446
Trump,2016-09-26,-0.175795093
Trump,2016-09-27,-0.158450503
Trump,2016-09-28,-0.164680814
Trump,2016-09-29,-0.234410465
Trump,2016-09-30,-0.266671253
Trump,2016-10-01,-0.301167729
Trump,2016-10-02,-0.280377492
Trump,2016-10-03,-0.316766758
Trump,2016-10-04,-0.281739577
Trump,2016-10-05,-0.235017716
Trump,2016-10-06,-0.186656303
Trump,2016-10-07,-0.188331396
Trump,2016-10-09,-0.503853874
Trump,2016-10-10,-0.351465659
