Candidate,Date,Score
Clinton,2016-08-15,-0.12817025855636363
Clinton,2016-08-16,-0.14708544082328778
Clinton,2016-08-17,-0.16326933146629996
Clinton,2016-08-18,-0.19507739225455298
Clinton,2016-08-19,-0.21009795353612915
Clinton,2016-08-20,-0.17694917920152184
Clinton,2016-08-21,-0.1612804254221262
Clinton,2016-08-22,-0.18812318852196366
Clinton,2016-08-23,-0.15359253379478627
Clinton,2016-08-24,-0.19334280996773742
Clinton,2016-08-25,-0.10808882109583937
Clinton,2016-08-26,-0.19611791249165295
Clinton,2016-08-27,-0.13676828547432424
Clinton,2016-08-28,-0.09755436181868851
Clinton,2016-08-29,-0.15358646271166662
Clinton,2016-08-30,-0.15856204321980258
Clinton,2016-08-31,-0.2054591119455517
Clinton,2016-09-01,-0.14396081498893396
Clinton,2016-09-02,-0.16189565848843906
Clinton,2016-09-04,-0.16642367317435897
Clinton,2016-09-05,-0.2166028399210163
Clinton,2016-09-06,-0.1729292788811435
Clinton,2016-09-07,-0.20824408989438775
Clinton,2016-09-08,-0.16860194524214286
Clinton,2016-09-09,-0.11577068363285616
Clinton,2016-09-10,-0.22892669250226244
Clinton,2016-09-12,-0.21251461240294553
Clinton,2016-09-13,-0.1971308000488546
Clinton,2016-09-14,-0.18593051005121963
Clinton,2016-09-15,-0.18895108990321796
Clinton,2016-09-16,-0.2016788330130303
Clinton,2016-09-17,-0.2024670237125316
Clinton,2016-09-18,-0.23997534979412655
Clinton,2016-09-19,-0.22291163152214816
Clinton,2016-09-20,-0.14199364240866869
Clinton,2016-09-21,-0.16759672128187098
Clinton,2016-09-22,-0.2188287388920167
Clinton,2016-09-23,-0.2035021213341854
Clinton,2016-09-24,-0.1632968966421762
Clinton,2016-09-25,0.03272460504704887
Clinton,2016-09-26,-0.15290971655859334
Clinton,2016-09-27,-0.15588870571838323
Clinton,2016-09-28,-0.16027465192798293
Clinton,2016-09-29,-0.178354075173536
Clinton,2016-09-30,-0.16729997768058066
Clinton,2016-10-01,-0.16352742753720928
Clinton,2016-10-02,-0.24934266778631575
Clinton,2016-10-03,-0.16305685235313844
Clinton,2016-10-04,-0.13537930891994512
Clinton,2016-10-05,-0.1586661039132532
Clinton,2016-10-06,-0.21744344781108868
Clinton,2016-10-07,-0.22157073132039146
Clinton,2016-10-08,-0.26922403044375004
Clinton,2016-10-09,-0.24425001940612306
Clinton,2016-10-10,-0.2548185045419233
Clinton,2016-10-11,-0.2261340921379743
Clinton,2016-10-12,-0.27442651204215557
Clinton,2016-10-13,-0.2911725886970055
Clinton,2016-10-14,-0.27426506661893335
Clinton,2016-10-15,-0.23244072693263138
Clinton,2016-10-16,-0.24836352484939586
Clinton,2016-10-17,-0.2542801570766271
Clinton,2016-10-18,-0.22375293399812426
Clinton,2016-10-19,-0.23112140798424619
Clinton,2016-10-21,-0.13252545661666665
Clinton,2016-10-24,-0.19370452532769228
Clinton,2016-10-25,-0.18166108819278082
Clinton,2016-10-26,-0.16038195746308523
Clinton,2016-10-27,-0.15030000297650467
Clinton,2016-10-28,-0.18166443138790572
Clinton,2016-10-29,-0.2455047740338567
Clinton,2016-10-30,-0.27529593629937904
Clinton,2016-10-31,-0.22062483142040556
Clinton,2016-11-01,-0.2232199852547121
Clinton,2016-11-02,-0.19545759460483714
Trump,2016-08-15,-0.23998050826579023
Trump,2016-08-16,-0.1492547762468346
Trump,2016-08-17,-0.12507270727873235
Trump,2016-08-18,0.025589688023277782
Trump,2016-08-19,-0.20117073462136995
Trump,2016-08-20,-0.1418441040698198
Trump,2016-08-21,-0.18209151731352952
Trump,2016-08-22,-0.21049735479724635
Trump,2016-08-23,-0.181020226228866
Trump,2016-08-24,-0.19648689355929558
Trump,2016-08-25,-0.20362853257393346
Trump,2016-08-26,-0.19056994728623536
Trump,2016-08-27,-0.19266236868649575
Trump,2016-08-28,-0.13975034965583621
Trump,2016-08-29,-0.16850065842204232
Trump,2016-08-30,-0.14297940948588622
Trump,2016-08-31,-0.16064944108786147
Trump,2016-09-01,-0.10042794277908533
Trump,2016-09-02,-0.14901378463197276
Trump,2016-09-04,-0.14919357606422018
Trump,2016-09-05,-0.15025957455196567
Trump,2016-09-06,-0.13095760447297872
Trump,2016-09-07,-0.14815838739327694
Trump,2016-09-08,-0.12668357272391662
Trump,2016-09-09,-0.04983137362499999
Trump,2016-09-10,-0.17358999933333333
Trump,2016-09-12,-0.17907366736849203
Trump,2016-09-13,-0.15790611307013397
Trump,2016-09-14,-0.14676658965829065
Trump,2016-09-15,-0.20621977055833335
Trump,2016-09-16,-0.1400996389594388
Trump,2016-09-17,-0.17023551949601898
Trump,2016-09-18,-0.20365223580724137
Trump,2016-09-19,-0.24550045216064098
Trump,2016-09-20,-0.16485094206665338
Trump,2016-09-21,-0.12853554656150118
Trump,2016-09-22,-0.17470361424735348
Trump,2016-09-23,-0.17735396480605764
Trump,2016-09-24,-0.13935167160594364
Trump,2016-09-25,0.04630889943900454
Trump,2016-09-26,-0.08941409348168322
Trump,2016-09-27,-0.14429587015674164
Trump,2016-09-28,-0.11406736162592303
Trump,2016-09-29,-0.22954138380981473
Trump,2016-09-30,-0.17584445689857672
Trump,2016-10-01,-0.16489736913883865
Trump,2016-10-02,-0.24179050038447214
Trump,2016-10-03,-0.19109983160487393
Trump,2016-10-04,-0.2135230402186234
Trump,2016-10-05,-0.12958589298139245
Trump,2016-10-06,-0.15454941576391446
Trump,2016-10-07,-0.1948484979795547
Trump,2016-10-08,-0.2545735339908693
Trump,2016-10-09,-0.24108351287821364
Trump,2016-10-10,-0.23069826244536223
Trump,2016-10-11,-0.23289386206632964
Trump,2016-10-12,-0.22672988275582673
Trump,2016-10-13,-0.2412062461107169
Trump,2016-10-14,-0.24442664924963947
Trump,2016-10-15,-0.2641139017174395
Trump,2016-10-16,-0.25067724277617753
Trump,2016-10-17,-0.22786498432952187
Trump,2016-10-18,-0.21770140670359636
Trump,2016-10-19,-0.18525094762693164
Trump,2016-10-21,-0.1266402186754098
Trump,2016-10-24,-0.1713638702096774
Trump,2016-10-25,-0.1694880744491095
Trump,2016-10-26,-0.15238666554442182
Trump,2016-10-27,-0.15116292793680375
Trump,2016-10-28,-0.17041655990551896
Trump,2016-10-29,-0.2025507590133357
Trump,2016-10-30,-0.2611158625982928
Trump,2016-10-31,-0.2059138171861537
Trump,2016-11-01,-0.17886025020282004
Trump,2016-11-02,-0.15970140627016235
Trump,2016-11-03,-0.16906534742116772
